,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
812,"51,123 km",2019 Maruti Eeco 7 STR,May 2012,First Owner,NA,Comprehensive,DL9C,Diesel,MANUAL,"₹ 410,000"
813,"43,028 km",2019 Maruti Baleno 	DELTA 1.2 K12 AT,June 2011,First Owner,6/6/2021,Comprehensive,DL3C,Petrol,NA,"₹ 619,000"
814,"83,651 km",2015 Hyundai Grand i10 MAGNA 1.1 CRDI,September 2011,First Owner,20/10/2021,3rd Party,HR42,Diesel,MANUAL,"₹ 225,000"
815,"47,994 km",2013 Maruti Swift VDI,March 2008,First Owner,5/6/2021,Third_party,DL9C,Petrol,MANUAL,"₹ 330,000"
816,"21,271 km",2018 Hyundai NEW SANTRO ASTA 1.1 MT,March 2017,First Owner,19/3/2021,Third_party,UP96,Petrol,MANUAL,"₹ 430,000"
817,"23,393 km",2015 Maruti Swift Dzire LDI BS IV,March 2013,First Owner,28/4/2021,Comprehensive,DL9C,Diesel,MANUAL,"₹ 400,000"
818,"14,007 km",2014 Hyundai Grand i10 SPORTZ 1.1 CRDI,October 2016,First Owner,24/11/2020,Zero_Dep,DL10,Petrol,MANUAL,"₹ 273,000"
819,"17,474 km",2017 Maruti Alto K10 VXI ,May 2017,First Owner,15/7/2021,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 320,000"
820,"26,677 km",2014 Hyundai Xcent SX 1.2 OPT,February 2017,First Owner,8/4/2021,Insurance Expired,DL12,Petrol,AUTOMATIC,"₹ 350,000"
821,"6,653 km",2019 Maruti Alto LXI,March 2019,First Owner,NA,Zero_Dep,DL6C,Petrol + CNG,MANUAL,"₹ 310,000"
822,"8,328 km",2020 Maruti Alto LXI,July 2019,First Owner,24/7/2021,Zero_Dep,DL2C,Petrol,MANUAL,"₹ 350,000"
823,"32,437 km",2011 Maruti Swift Dzire VXI 1.2 BS IV,August 2015,First Owner,14/3/2021,Comprehensive,DL9C,Diesel,NA,"₹ 250,000"
