,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
178,"72,329 km",2015 Hyundai Elite i20 MAGNA 1.4 CRDI,April 2011,First Owner,1/11/2020,Expired,DL7C,Petrol,MANUAL,"₹ 551,199"
179,"39,203 km",2015 Hyundai Elite i20 SPORTZ (O) 1.2,April 2013,First Owner,27/4/2021,Third_party,DL4C,Diesel,MANUAL,"₹ 531,099"
180,"81,162 km",2019 Honda City SV MT PETROL,May 2011,First Owner,15/5/2021,Comp,DL14,Diesel,MANUAL,"₹ 1,036,499"
181,"28,608 km",2012 Honda Brio 1.2 V MT I VTEC,January 2017,First Owner,4/2/2021,Zero_Dep,DL9C,Petrol + CNG,MANUAL,"₹ 290,099"
182,"72,105 km",2017 Mahindra XUV500 W4 4X2,March 2012,First Owner,16/3/2021,Expired,DL8C,Diesel,MANUAL,"₹ 824,347"
183,"49,862 km",2007 Honda Civic 1.8S MT,February 2015,First Owner,25/3/2021,Expired,DL3C,Diesel,MANUAL,"₹ 151,399"
184,"39,327 km",2012 Maruti Swift LXI,December 2015,Second Owner,29/1/2021,Zero_Dep,DL1C,Petrol + CNG,MANUAL,"₹ 573,599"
185,"10,750 km",2013 Honda Brio 1.2 EX MT I VTEC,January 2019,First Owner,19/2/2022,Zero_Dep,DL4C,Petrol,MANUAL,"₹ 281,099"
186,"62,852 km",2013 Maruti Swift VDI,June 2012,Second Owner,6/5/2021,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 412,599"
187,"18,271 km",2016 Honda Jazz 1.2 V AT,January 2017,First Owner,9/2/2022,Zero_Dep,DL4C,Diesel,MANUAL,"₹ 544,599"
188,"52,138 km",2012 Hyundai i20 MAGNA O 1.2,September 2007,Third Owner,29/3/2021,Expired,DL3C,Petrol,MANUAL,"₹ 319,299"
189,"31,999 km",2009 Maruti Alto LXI,March 2012,First Owner,NA,Expired,DL3C,Petrol,MANUAL,"₹ 137,599"
190,"55,463 km",2016 Maruti Vitara Brezza VDI OPT,March 2013,Second Owner,8/6/2021,Comp,DL9C,Petrol,MANUAL,"₹ 590,999"
191,"47,738 km",2014 Toyota Corolla Altis D 4D J,April 2013,First Owner,NA,Comp,DL8C,Diesel,MANUAL,"₹ 971,099"
192,"56,894 km",2011 Maruti Swift Dzire LXI 1.2 BS IV,February 2016,First Owner,11/4/2021,Zero_Dep,DL3C,Petrol,AUTOMATIC,"₹ 227,799"
193,"73,356 km",2013 Toyota Etios Liva GD,March 2012,First Owner,28/7/2021,Comp,DL9C,Petrol,MANUAL,"₹ 334,599"
194,"72,725 km",2015 Maruti Alto K10 VXI AMT,February 2009,Second Owner,6/3/2021,Third_party,DL9C,Petrol,MANUAL,"₹ 295,499"
195,"68,638 km",2011 Maruti Swift Dzire VXI 1.2 BS IV,May 2016,First Owner,8/5/2021,Zero_Dep,DL13,Diesel,MANUAL,"₹ 276,699"
196,"17,758 km",2014 Maruti Celerio VXI AMT,January 2014,First Owner,28/1/2021,Expired,DL3C,Diesel,MANUAL,"₹ 287,417"
197,"80,333 km",2017 Hyundai Creta 1.4 E PLUS CRDI,January 2011,First Owner,NA,Expired,DL10,Petrol,MANUAL,"₹ 831,099"
198,"67,401 km",2012 Maruti Swift Dzire VDI BS IV,June 2013,First Owner,26/7/2021,Zero_Dep,DL4C,Diesel,MANUAL,"₹ 389,399"
199,"35,770 km",2016 Tata Tiago XT 1.2 REVOTRON,May 2015,First Owner,23/9/2021,Comp,DL11,Petrol,MANUAL,"₹ 306,299"
200,"73,981 km",2017 Tata Tiago XT 1.05 REVOTORQ,September 2011,First Owner,4/10/2021,Comp,DL8C,Petrol,NA,"₹ 363,999"
201,"83,742 km",2018 Maruti Baleno SIGMA 1.2 K12,July 2014,First Owner,23/7/2021,Comp,HR60,Petrol,AUTOMATIC,"₹ 574,925"
202,"55,210 km",2010 Honda City V AT,July 2017,First Owner,17/7/2021,Zero Depreciation,HR26,Diesel,MANUAL,"₹ 349,499"
203,"75,435 km",2011 Hyundai i20 MAGNA O 1.2,May 2012,First Owner,17/5/2021,Comp,DL2C,Diesel,NA,"₹ 290,199"
204,"86,339 km",2014 Honda Amaze 1.5 SX MT I DTEC,July 2016,First Owner,16/10/2021,Expired,DL4C,Petrol,MANUAL,"₹ 291,899"
205,"47,422 km",2012 Honda Brio 1.2 EX MT I VTEC,September 2017,First Owner,NA,Comprehensive,DL4C,Diesel,MANUAL,"₹ 296,999"
206,"20,433 km",2013 Maruti Alto 800 LXI,January 2018,First Owner,1/2/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 244,899"
207,"92,309 km",2014 Honda Amaze 1.2 EXMT I VTEC,February 2010,Third Owner,4/5/2021,Expired,DL4C,Petrol,AUTOMATIC,"₹ 330,799"
208,"66,721 km",2009 Maruti Alto LXI,March 2011,First Owner,NA,Comp,DL9C,Petrol,MANUAL,"₹ 153,299"
209,"75,678 km",2009 Maruti Ritz VXI,August 2014,Second Owner,25/9/2021,Comp,DL9C,Diesel,MANUAL,"₹ 252,399"
210,"57,063 km",2012 Mahindra Scorpio SLE BS IV,December 2012,First Owner,26/12/2021,Comp,DL12,Petrol,MANUAL,"₹ 408,399"
211,"49,275 km",2012 Honda City S MT PETROL,June 2013,First Owner,10/2/2021,Expired,DL8C,Petrol,MANUAL,"₹ 470,699"
212,"71,800 km",2012 Maruti Swift Dzire VDI BS IV,January 2014,First Owner,NA,Comp,DL9C,Petrol,MANUAL,"₹ 343,499"
213,"57,358 km",2009 Maruti Alto LXI,April 2009,First Owner,23/4/2021,Comprehensive,DL7C,Petrol,MANUAL,"₹ 182,053"
214,"48,907 km",2012 Maruti Ertiga VDI ABS,August 2009,First Owner,21/8/2021,Comp,DL9C,Petrol,MANUAL,"₹ 383,899"
215,"50,594 km",2016 Hyundai Elite i20 1.4 CRDI ASTA (O),April 2012,First Owner,8/6/2021,Comp,DL12,Diesel,MANUAL,"₹ 515,628"
216,"49,305 km",2016 Maruti Ciaz ZDI SHVS HYBIRD,January 2012,First Owner,29/12/2021,Third_party,DL3C,Petrol,MANUAL,"₹ 583,499"
217,"81,509 km",2013 Honda Amaze 1.5 VXMT I DTEC,March 2012,First Owner,16/3/2021,Comp,DL13,Diesel,MANUAL,"₹ 318,899"
218,"39,300 km",2014 Honda City S MT DIESEL,December 2009,First Owner,24/1/2022,Comp,DL3C,Petrol,MANUAL,"₹ 515,099"
219,"91,724 km",2016 Renault Kwid RXT Opt,November 2012,Second Owner,14/1/2021,Comp,DL8C,Diesel,MANUAL,"₹ 212,745"
220,"72,411 km",2013 Maruti Ertiga VDI ABS,June 2016,First Owner,20/7/2021,Zero_Dep,DL2C,Diesel,MANUAL,"₹ 619,099"
221,"62,539 km",2012 Maruti Ertiga ZDI,January 2016,First Owner,12/2/2021,Zero_Dep,DL8C,Diesel,MANUAL,"₹ 386,099"
222,"63,748 km",2010 Hyundai i10 MAGNA 1.2 KAPPA2,June 2013,Third Owner,3/11/2021,Comp,DL2C,Diesel,NA,"₹ 223,399"
223,"69,029 km",2010 Volkswagen Polo TRENDLINE 1.2L PETROL,June 2014,First Owner,29/9/2021,Comp,DL9C,Diesel,MANUAL,"₹ 190,287"
224,"87,579 km",2011 Maruti Swift VXI,April 2016,First Owner,1/6/2021,Expired,DL3C,Petrol,MANUAL,"₹ 301,599"
225,"51,981 km",2012 Maruti Swift Dzire VDI BS IV,March 2013,First Owner,23/4/2021,Third_party,DL9C,Diesel,MANUAL,"₹ 338,699"
226,"81,227 km",2016 Tata Tiago XZ 1.2 REVOTRON,October 2012,Second Owner,25/6/2021,Expired,DL12,Diesel,MANUAL,"₹ 382,099"
227,"111,674 km",2009 Maruti Zen Estilo LXI,June 2010,First Owner,NA,Comp,DL8C,Petrol,MANUAL,"₹ 131,599"
228,"65,467 km",2013 Hyundai i10 MAGNA 1.1 IRDE2,June 2010,Third Owner,1/9/2021,Comp,DL2C,Petrol,MANUAL,"₹ 296,499"
229,"81,523 km",2019 Honda City V CVT,December 2011,Second Owner,25/9/2021,Third_party,DL11,Petrol,MANUAL,"₹ 996,599"
230,"87,800 km",2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,February 2012,First Owner,18/2/2021,Comp,DL1C,Diesel,MANUAL,"₹ 602,999"
231,"69,312 km",2019 Maruti Vitara Brezza VDI,November 2016,First Owner,26/1/2021,Comp,DL3C,Petrol,MANUAL,"₹ 945,999"
232,"48,161 km",2015 Maruti Baleno ALPHA 1.2 K12 ,January 2009,Second Owner,14/8/2021,Third_party,DL3C,Petrol,MANUAL,"₹ 578,299"
233,"57,657 km",2012 Maruti Ritz LDI ,February 2013,First Owner,1/3/2021,Comp,DL8C,Petrol,MANUAL,"₹ 257,499"
234,"9,671 km",2011 Toyota Etios VX,April 2019,First Owner,27/5/2021,Zero_Dep,DL7C,Petrol,MANUAL,"₹ 350,999"
235,"35,020 km",2008 Hyundai i10 MAGNA 1.2,April 2017,First Owner,10/7/2021,Comp,DL4C,Petrol,NA,"₹ 162,799"
236,"32,575 km",2018 Maruti Ciaz ALPHA 1.5 MT VVT SHVS,February 2019,First Owner,27/2/2021,Zero_Dep,DL12,Diesel,MANUAL,"₹ 974,499"
237,"48,337 km",2014 Toyota Corolla Altis J S,November 2015,First Owner,11/11/2021,Comp,DL3C,Petrol,MANUAL,"₹ 762,699"
238,"72,428 km",2014 Hyundai Xcent SX 1.2 OPT,April 2012,First Owner,19/6/2021,Comp,DL9C,Diesel,MANUAL,"₹ 327,199"
239,"87,966 km",2012 Toyota Etios Liva GD,February 2011,First Owner,22/3/2021,Comp,DL3C,Petrol,MANUAL,"₹ 293,086"
240,"68,478 km",2010 Maruti Alto LXI,August 2008,First Owner,31/10/2021,Expired,DL3C,Petrol,MANUAL,"₹ 187,399"
241,"12,269 km",2012 Maruti Ritz VDI ,September 2018,First Owner,15/10/2021,Third_party,DL1C,Petrol,MANUAL,"₹ 249,999"
242,"41,529 km",2013 Maruti Swift Dzire VDI BS IV,October 2014,First Owner,NA,Third_party,DL2C,Petrol,MANUAL,"₹ 455,099"
243,"76,823 km",2007 Honda City ZX 1.5 VTEC ,May 2014,Third Owner,7/2/2021,Third_party,DL3C,Petrol,NA,"₹ 121,899"
244,"82,756 km",2013 Hyundai Eon MAGNA PLUS,January 2012,Second Owner,2/6/2021,Comp,DL4C,Diesel,MANUAL,"₹ 246,399"
245,"70,239 km",2011 Ford Figo 1.2 ZXI DURATEC ,June 2010,First Owner,9/6/2021,Comp,DL4C,Petrol,MANUAL,"₹ 196,999"
246,"80,575 km",2019 Maruti Baleno DELTA 1.2 K12 ,August 2012,Second Owner,31/5/2021,Third_party,DL11,Diesel,MANUAL,"₹ 733,099"
247,"62,602 km",2013 Hyundai i20 MAGNA O 1.4 CRDI,May 2013,First Owner,29/5/2021,Comp,DL3C,Diesel,MANUAL,"₹ 338,299"
248,"111,540 km",2010 Hyundai i10 ERA 1.1 IRDE,September 2007,Second Owner,7/9/2021,Third_party,DL10,Petrol,MANUAL,"₹ 187,407"
249,"56,350 km",2010 Maruti Ritz VXI BS IV,February 2013,First Owner,19/10/2021,Expired,DL3C,Petrol,MANUAL,"₹ 259,699"
250,"85,096 km",2010 Honda Civic 1.8V AT,September 2011,First Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 287,399"
251,"21,125 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,April 2019,First Owner,14/5/2021,Zero_Dep,DL2C,Petrol,MANUAL,"₹ 349,999"
252,"75,654 km",2018 Maruti Vitara Brezza VDI,February 2013,First Owner,1/4/2021,Comp,DL3C,Diesel,MANUAL,"₹ 689,500"
253,"90,962 km",2018 Maruti Vitara Brezza VDI,March 2010,First Owner,10/5/2021,Comp,DL5C,Petrol + CNG,MANUAL,"₹ 793,599"
254,"55,012 km",2008 BMW 5 Series 530I,August 2010,First Owner,11/8/2021,Comp,DL3C,Petrol,MANUAL,"₹ 598,999"
255,"86,619 km",2017 Hyundai Elite i20 ASTA 1.2,January 2010,Second Owner,5/1/2021,Comp,DL8C,Petrol,AUTOMATIC,"₹ 712,199"
256,"44,146 km",2013 Hyundai i20 MAGNA O 1.2,April 2018,First Owner,15/5/2021,Expired,DL8C,Petrol + CNG,MANUAL,"₹ 373,199"
257,"50,930 km",2017 Maruti S Cross ALPHA SHVS,May 2018,First Owner,NA,Zero_Dep,DL10,Diesel,MANUAL,"₹ 1,250,999"
258,"33,347 km",2018 Maruti Alto K10 VXI (O) AMT,July 2018,Second Owner,8/9/2021,Comp,DL2C,Diesel,MANUAL,"₹ 367,799"
259,"94,020 km",2013 Maruti Ertiga ZDI,January 2008,First Owner,21/3/2021,Comp,DL6C,Petrol,AUTOMATIC,"₹ 473,999"
260,"45,517 km",2010 Maruti Alto K10 VXI ,April 2017,First Owner,23/6/2021,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 172,940"
261,"64,703 km",2008 Maruti Alto LXI,February 2013,First Owner,17/4/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 101,299"
262,"26,229 km",2014 Mahindra Scorpio S10,September 2017,First Owner,28/11/2021,Zero_Dep,DL10,Diesel,MANUAL,"₹ 1,037,999"
263,"39,845 km",2013 Maruti Ertiga VDI ABS,September 2018,First Owner,8/10/2021,Third_party,DL9C,Petrol,MANUAL,"₹ 457,699"
264,"88,622 km",2015 Hyundai Creta 1.6 S,August 2013,First Owner,11/9/2021,Comp,DL8C,Diesel,NA,"₹ 868,299"
265,"103,426 km",2010 Volkswagen Polo TRENDLINE 1.2L PETROL,November 2010,First Owner,30/12/2019,Comp,DL4C,Petrol + CNG,MANUAL,"₹ 190,299"
266,"98,526 km",2013 Toyota Etios GD SP,October 2008,Third Owner,13/2/2021,Third_party,DL7C,Petrol,MANUAL,"₹ 328,799"
267,"24,847 km",2016 Maruti Celerio VXI AMT,December 2014,First Owner,9/1/2022,Expired,DL3C,Diesel,MANUAL,"₹ 430,799"
268,"87,825 km",2007 Toyota Corolla HE 1.8 J,February 2013,First Owner,22/2/2021,Comp,DL3C,Diesel,MANUAL,"₹ 148,599"
269,"58,647 km",2009 Toyota Corolla Altis 1.8 G,September 2015,First Owner,22/9/2021,Comp,DL3C,Petrol,MANUAL,"₹ 305,099"
270,"91,905 km",2016 Hyundai Creta 1.4 E PLUS CRDI,September 2010,Second Owner,10/4/2021,Comp,DL8C,Petrol,MANUAL,"₹ 887,899"
271,"82,778 km",2014 Hyundai Santro Xing GL PLUS,January 2013,First Owner,7/5/2021,Comp,DL10,Diesel,MANUAL,"₹ 276,899"
272,"51,639 km",2013 Honda Amaze 1.5 EMT I DTEC,October 2016,First Owner,26/10/2021,Zero Depreciation,DL13,Petrol,AUTOMATIC,"₹ 254,599"
273,"110,801 km",2016 Maruti Baleno ALPHA DDIS 190 ,November 2007,First Owner,29/1/2021,Comp,DL5C,Petrol,MANUAL,"₹ 694,799"
274,"73,413 km",2018 Renault Kwid RXT Opt,July 2009,Second Owner,21/7/2021,Comp,HR06,Petrol,MANUAL,"₹ 339,100"
275,"45,574 km",2013 Maruti Ritz VDI ,July 2016,First Owner,2/8/2021,Zero_Dep,DL1C,Diesel,NA,"₹ 321,999"
276,"96,552 km",2017 Maruti Ciaz VDI+ SHVS,February 2014,First Owner,17/3/2021,Comp,DL12,Petrol + CNG,MANUAL,"₹ 708,499"
277,"98,889 km",2009 Honda City S MT PETROL,January 2013,First Owner,14/5/2021,Comp,DL9C,Diesel,NA,"₹ 307,499"
278,"69,278 km",2010 Honda City 1.5 E MT PETROL,March 2016,First Owner,24/3/2021,Zero_Dep,DL7C,Diesel,MANUAL,"₹ 281,299"
279,"34,303 km",2012 Maruti Swift VDI,January 2018,First Owner,14/1/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 301,899"
280,"76,553 km",2015 BMW 3 Series 320D,May 2013,First Owner,2/7/2021,Comp,HR26,Diesel,MANUAL,"₹ 1,553,699"
281,"58,511 km",2015 Maruti Swift VDI,January 2017,First Owner,6/2/2021,Zero_Dep,DL8C,Diesel,MANUAL,"₹ 429,599"
282,"85,362 km",2011 Toyota Corolla Altis  VL AT,June 2009,Second Owner,25/8/2021,Expired,DL9C,Petrol,MANUAL,"₹ 463,699"
283,"89,548 km",2016 Hyundai Grand i10 SPORTS 1.2 VTVT,March 2010,First Owner,11/10/2021,Comp,DL8C,Petrol,MANUAL,"₹ 374,099"
284,"112,723 km",2013 Maruti Swift VDI,November 2012,First Owner,NA,Expired,DL8C,Diesel,AUTOMATIC,"₹ 332,499"
285,"59,109 km",2018 Maruti Vitara Brezza ZDI PLUS DUAL TONE,March 2015,First Owner,18/3/2021,Zero_Dep,DL8C,Diesel,MANUAL,"₹ 1,036,099"
286,"86,567 km",2008 Toyota Corolla Altis  VL AT,January 2015,First Owner,NA,Zero_Dep,DL3C,Diesel,AUTOMATIC,"₹ 210,899"
287,"86,288 km",2014 Mercedes Benz C Class 220 EDITION C,July 2011,Second Owner,9/6/2021,Expired,DL8C,Petrol,NA,"₹ 1,118,399"
288,"56,923 km",2014 Mahindra Scorpio S10,June 2016,Second Owner,29/10/2021,Expired,DL4C,Petrol,MANUAL,"₹ 864,890"
289,"79,019 km",2014 Hyundai New Elantra SX 1.6 MT,October 2013,First Owner,NA,Third_party,DL10,Diesel,MANUAL,"₹ 653,399"
290,"15,094 km",2015 Maruti Swift VDI ABS,April 2018,First Owner,3/3/2021,Third_party,HR10,Diesel,MANUAL,"₹ 571,713"
291,"150,651 km",2013 Mahindra XUV500 W6 4X2,November 2008,Second Owner,22/9/2021,Expired,DL4C,Petrol + CNG,AUTOMATIC,"₹ 553,399"
292,"25,971 km",2008 Maruti Alto LXI,April 2014,Second Owner,13/12/2021,Comp,DL2C,Diesel,MANUAL,"₹ 155,399"
293,"64,935 km",2016 Volkswagen Polo COMFORTLINE 1.2L PETROL,November 2014,First Owner,NA,Zero_Dep,DL10,Diesel,AUTOMATIC,"₹ 445,199"
294,"57,492 km",2010 Maruti Alto LXI,April 2014,First Owner,15/6/2021,Comp,DL9C,Diesel,NA,"₹ 189,499"
295,"37,481 km",2016 Hyundai Grand i10 1.2 ASTA (O) AT,February 2015,First Owner,28/2/2021,Comp,DL9C,Diesel,MANUAL,"₹ 570,799"
296,"90,510 km",2017 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,April 2013,First Owner,24/5/2021,Comp,DL3C,Diesel,MANUAL,"₹ 303,199"
297,"80,814 km",2013 Renault Duster 85 PS RXL,December 2008,First Owner,16/1/2022,Comp,DL8C,Petrol,MANUAL,"₹ 393,199"
298,"66,519 km",2011 Hyundai Eon ERA,October 2016,Second Owner,3/8/2021,Expired,DL4C,Petrol,MANUAL,"₹ 187,899"
299,"81,798 km",2012 Skoda Laura AMBITION 2.0 TDI CR MT,January 2010,First Owner,NA,Comp,DL8C,Petrol + CNG,MANUAL,"₹ 322,499"
300,"58,141 km",2013 Maruti Alto 800 LXI,July 2016,First Owner,2/11/2021,Expired,DL3C,Petrol + CNG,AUTOMATIC,"₹ 230,299"
301,"100,534 km",2012 Toyota Etios Liva GD,June 2017,First Owner,8/10/2021,Expired,DL8C,Petrol + CNG,MANUAL,"₹ 302,160"
302,"103,665 km",2012 Skoda Superb ELEGANCE 1.8 TSI AT,January 2013,First Owner,NA,Comp,DL8C,Diesel,MANUAL,"₹ 481,399"
303,"86,673 km",2018 Hyundai Creta 1.6 SX AT CRDI,October 2011,First Owner,4/12/2021,Comp,DL8C,Petrol + CNG,MANUAL,"₹ 1,500,799"
304,"109,457 km",2014 Honda City VX MT DIESEL,January 2012,Second Owner,13/3/2021,Expired,DL3C,Diesel,MANUAL,"₹ 529,699"
305,"72,315 km",2012 Maruti Swift Dzire VDI BS IV,March 2013,First Owner,NA,Comp,DL8C,Petrol + CNG,MANUAL,"₹ 390,199"
306,"94,952 km",2013 Honda Amaze 1.5 SMT I DTEC,December 2012,First Owner,17/1/2021,Third_party,DL3C,Diesel,MANUAL,"₹ 321,799"
307,"84,629 km",2008 Honda City S MT PETROL,April 2012,Third Owner,13/3/2021,Comp,DL7C,Petrol,AUTOMATIC,"₹ 281,999"
308,"31,151 km",2016 Hyundai Elite i20 MAGNA 1.2,August 2018,First Owner,7/9/2021,Zero_Dep,DL10,Diesel,MANUAL,"₹ 502,399"
309,"95,461 km",2007 Honda City ZX 1.5 EXI,September 2014,First Owner,26/11/2021,Expired,DL4C,Diesel,MANUAL,"₹ 179,699"
310,"94,644 km",2011 Hyundai i20 MAGNA O 1.2,November 2012,First Owner,NA,Comp,DL7C,Diesel,MANUAL,"₹ 285,299"
311,"80,701 km",2011 Toyota Fortuner 3.0 MT 4X4,November 2013,First Owner,16/1/2021,Comp,DL3C,Diesel,NA,"₹ 814,299"
312,"113,355 km",2013 Toyota Innova 2.5 GX 7 STR BS IV,November 2008,First Owner,27/12/2021,Expired,HR26,Petrol,MANUAL,"₹ 814,199"
313,"54,008 km",2012 Toyota Etios GD,April 2016,First Owner,29/8/2021,Expired,DL3C,Petrol,MANUAL,"₹ 306,399"
314,"145,153 km",2015 Maruti Swift LXI OPT,August 2007,First Owner,26/2/2021,Comp,DL2C,Petrol,MANUAL,"₹ 416,499"
315,"84,927 km",2015 BMW 3 Series 320D,January 2011,First Owner,NA,Comp,HR26,Petrol,MANUAL,"₹ 1,757,799"
316,"83,299 km",2011 Honda City V MT PETROL,July 2011,Second Owner,30/8/2021,Comp,DL3C,Diesel,NA,"₹ 325,099"
317,"69,047 km",2013 Maruti Swift VDI,October 2013,First Owner,17/11/2021,Comp,DL12,Diesel,MANUAL,"₹ 326,699"
318,"130,929 km",2017 Hyundai Grand i10 SPORTS 1.2 VTVT,March 2012,First Owner,14/7/2021,Expired,DL12,Diesel,MANUAL,"₹ 497,199"
319,"73,411 km",2012 Toyota Etios Liva GD,July 2015,First Owner,NA,Comp,DL1C,Petrol,MANUAL,"₹ 318,199"
320,"51,266 km",2013 Toyota Etios Liva GD exclusive,December 2015,Second Owner,27/2/2021,Zero_Dep,DL3C,Diesel,AUTOMATIC,"₹ 327,899"
321,"147,629 km",2014 Honda Amaze 1.2 EXMT I VTEC,August 2011,First Owner,28/9/2021,Comp,DL7C,Petrol,MANUAL,"₹ 412,399"
322,"98,047 km",2013 Honda City V MT PETROL,February 2013,First Owner,7/3/2021,Comp,DL3C,Diesel,MANUAL,"₹ 420,299"
323,"50,746 km",2012 Maruti Swift VDI,January 2017,First Owner,14/7/2021,Zero Depreciation,DL9C,Petrol,MANUAL,"₹ 313,699"
324,"89,919 km",2013 Toyota Etios Liva GD exclusive,July 2012,First Owner,16/6/2021,Expired,HR51,Diesel,MANUAL,"₹ 359,799"
325,"97,735 km",2012 Toyota Corolla Altis D 4D J,October 2013,First Owner,9/11/2021,Zero_Dep,DL8C,Diesel,MANUAL,"₹ 362,899"
326,"66,362 km",2016 Maruti Baleno ALPHA DDIS 190 ,April 2014,First Owner,1/6/2021,Zero_Dep,DL5C,Petrol,MANUAL,"₹ 573,699"
327,"136,859 km",2014 Maruti Swift Dzire VXI 1.2 BS IV,January 2013,First Owner,5/2/2021,Comp,DL3C,Petrol,MANUAL,"₹ 403,599"
328,"102,024 km",2014 Honda City V MT PETROL,December 2012,First Owner,18/12/2020,Third_party,DL4C,Diesel,MANUAL,"₹ 525,799"
329,"104,810 km",2015 Hyundai Elite i20 MAGNA 1.2,September 2013,First Owner,18/7/2021,Expired,HR10,Diesel,MANUAL,"₹ 506,523"
330,"105,865 km",2011 Hyundai i10 MAGNA 1.2 KAPPA2,March 2012,First Owner,NA,Third_party,DL4C,Diesel,MANUAL,"₹ 195,999"
331,"107,803 km",2012 Maruti Swift Dzire VDI BS IV,March 2016,First Owner,20/10/2021,Expired,DL5C,Diesel,MANUAL,"₹ 356,199"
332,"75,485 km",2013 Maruti Swift Dzire LDI BS IV,October 2014,First Owner,NA,Comp,DL1C,Petrol,MANUAL,"₹ 303,199"
333,"94,066 km",2017 Hyundai Grand i10 Sportz(O) 1.2 MT,October 2014,First Owner,28/10/2021,Expired,DL4C,Petrol,MANUAL,"₹ 501,899"
334,"57,218 km",2011 Toyota Corolla Altis D 4D G,September 2015,First Owner,7/1/2021,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 331,799"
335,"89,090 km",2013 Maruti Swift Dzire VXI 1.2 BS IV,January 2011,First Owner,9/3/2021,Expired,DL8C,Petrol,MANUAL,"₹ 369,899"
336,"98,618 km",2012 Toyota Innova 2.5 GX 8 STR BS IV,February 2012,First Owner,11/2/2021,Comprehensive,DL3C,Diesel,MANUAL,"₹ 557,499"
337,"122,165 km",2016 Hyundai Creta 1.4 S CRDI,May 2013,First Owner,24/5/2021,Expired,DL4C,Diesel,MANUAL,"₹ 696,283"
338,"54,496 km",2008 Hyundai Santro Xing GLS,July 2017,First Owner,25/8/2021,Zero_Dep,DL3C,Petrol + CNG,MANUAL,"₹ 97,199"
339,"168,801 km",2011 Toyota Corolla Altis D 4D G,October 2011,First Owner,15/10/2021,Third_party,DL13,Diesel,NA,"₹ 306,099"
340,"95,093 km",2012 Maruti Swift VDI,March 2013,First Owner,27/3/2021,Comp,DL5C,Petrol,MANUAL,"₹ 311,399"
341,"93,262 km",2015 Toyota Innova 2.5 GX 8 STR BS IV,January 2012,First Owner,24/6/2021,Comp,DL8C,Diesel,MANUAL,"₹ 725,399"
342,"98,576 km",2011 Chevrolet Cruze LTZ AT,March 2016,First Owner,28/6/2021,Comp,DL10,Diesel,MANUAL,"₹ 258,999"
343,"150,867 km",2011 Maruti Wagon R 1.0 LXI CNG,May 2008,First Owner,5/10/2021,Comp,DL13,Petrol + CNG,NA,"₹ 243,899"
344,"115,196 km",2014 Honda City VX MT DIESEL,August 2011,Second Owner,17/12/2020,Third_party,DL3C,Diesel,MANUAL,"₹ 562,899"
345,"142,099 km",2012 Hyundai i20 ASTA 1.4 CRDI,January 2012,First Owner,22/10/2021,Comp,DL10,Diesel,MANUAL,"₹ 309,699"
346,"76,940 km",2015 Hyundai Xcent SX 1.1 CRDI,February 2015,Second Owner,27/3/2021,Comp,DL2C,Diesel,MANUAL,"₹ 404,799"
347,"141,119 km",2014 Toyota Etios Liva GD,March 2011,First Owner,NA,Comp,UP16,Diesel,AUTOMATIC,"₹ 319,999"
348,"112,297 km",2012 Maruti Wagon R 1.0 LXI CNG,July 2011,First Owner,19/12/2021,Comp,HR51,Petrol + CNG,MANUAL,"₹ 250,599"
349,"89,834 km",2014 Maruti Swift Dzire VDI BS IV,February 2014,First Owner,14/2/2021,Zero_Dep,DL1C,Diesel,MANUAL,"₹ 445,499"
350,"86,415 km",2019 Maruti New  Wagon-R VXI 1.0 ,March 2012,First Owner,5/7/2021,Comp,DL12,Diesel,MANUAL,"₹ 503,099"
351,"89,930 km",2015 Mahindra XUV500 W8 FWD,July 2015,First Owner,4/9/2020,Expired,DL7C,Diesel,MANUAL,"₹ 706,199"
352,"116,324 km",2010 Hyundai i10 ERA 1.1 IRDE,August 2014,First Owner,NA,Comp,DL3C,Diesel,MANUAL,"₹ 174,902"
353,"99,966 km",2009 Hyundai i20 MAGNA 1.2 VTVT,January 2012,First Owner,31/1/2021,Comp,DL7C,Petrol + CNG,MANUAL,"₹ 173,399"
354,"88,835 km",2013 Maruti Swift Dzire VDI BS IV,November 2014,First Owner,25/2/2021,Expired,DL9C,Diesel,MANUAL,"₹ 308,900"
355,"44,040 km",2014 Maruti Ritz LDI ,February 2019,First Owner,20/3/2020,Zero Depreciation,DL2C,Petrol,MANUAL,"₹ 286,599"
356,"119,930 km",2014 Honda City V MT DIESEL,January 2015,First Owner,NA,Zero_Dep,DL3C,Diesel,MANUAL,"₹ 468,899"
